Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
EPICC_RE0012B_T1_B1_Q1	0	0.351108766	0	0.137109976	0	1.389961542	0.423846732	0	0.054469507	0	1.061755966	0	0.078476488	0.717384739	0.918544502	0.374326463	0.066020774	0	0.324263505	0	0	0.048961146	0.14	0.068403718	5.946230105
EPICC_RE0012C_T1_B1_Q1	0	0	0.028446856	1.758375423	0	0	0.876561712	0.388926919	0.103167186	0	0.742375434	0	0.156523733	0.232946176	0.150539434	0.069962129	0.041590496	0	0.260892904	0	0	0	0.02	0.119200723	4.810308404
EPICC_RE0014A_T1_B1_Q1	0	0.025082632	0	0.084279376	0.006827846	0.49638466	0.133057625	0	0	0	0.08522435	0	0.10127376	0.120546911	0.052947826	0.057932183	0.208172497	0	0.09102533	0	0	0.024044731	0.4	0.024068443	1.486799727
EPICC_RE0014C_T1_B1_Q1	0	0.288201733	0	0.0975046	0	1.271817838	0.200884502	0	0	0	0.053108322	0.036906211	0.195782806	0.014391657	0.096475729	0.266623362	0.013982749	0	0.464246221	0	0.001565978	0.024849721	0.04	0.110634972	3.026341428
EPICC_RE0021A_T2_B1_Q1	0.050374439	0	0.025940598	0	0.11453069	0.546601922	0.034983532	0	0.012444333	0	0.088872197	0	0.077834351	0.033266863	0.006330644	0.086280789	0.00378466	0.058352994	0.160580572	0.014458661	0	0.003090358	0.11	0.078619269	1.317727603
EPICC_RE0021B_T1_B1_Q1	0.075768363	0	0.013297203	0	0.086271114	0.767412332	0.046915472	0	0	0	0.094452421	0	0.152198022	0.29047459	0.045143831	0.016424301	0	0.198354437	0.080266405	0	0	0.206234278	0.2	0.0540542	2.07321277
EPICC_RE0021C_T1_B1_Q1	0.235162513	0.306826266	0	0.190298697	0.115167748	0.867632232	0.032335436	0	0.034052259	0	0.202092632	0	0.759462128	0	0	0.279362496	0	0.142518995	0.494031557	0	0	0	0.01	0.198928388	3.658942958
EPICC_RE0022A_T1_B1_Q1	0.132797278	0	0.004502413	0.029703094	0	0.544926689	0.07880023	0	0	0	0.112768404	0	0.010103031	0.063270025	0.036987166	0.094195085	0.086503459	0	0.040640318	0.007772194	0	0	0.06	0.100121829	1.242969387
EPICC_RE0022B_T1_B1_Q1	0	0	0.0006	0.257291445	0	0.860866892	0	0	0	0	0.062948367	0	0.275938464	0.097895349	0.229035556	0.221258508	0	0	0.192966977	0	0	0.013739285	0.62	0.00367603	2.212574504
EPICC_RE0022C_T1_B1_Q1	0	0.704353097	0	0.240707258	0	0.828990733	0.189611192	0.030032692	0	0	0.137475329	0.001413061	0.415546493	0.240860822	0.253539001	0.053424258	0	0.129863615	0.258651998	0	0	0	0	0.27368226	3.484469551
EPICC_RE0023A_T1_B1_Q1	0.126480313	0	0	0	0.188245982	0.722369828	0.037081012	0	0.030685709	0	0.47976862	0	0.291540213	0	0.003199593	0	0	0.179688684	0	0.605845089	0	0.92799027	0.18	0.061817559	3.592895313
EPICC_RE0023B_T2_B1_Q1	0	0.163257469	0	0	0.251367842	0.797502785	0.099443369	0	0	0	0.208502687	0	0.207571152	0.559269324	0.028032206	0	0	0.123208301	0.075971759	0.022401545	0	0.252970037	0.06	0.098266116	2.789498477
EPICC_RE0023C_T1_B1_Q1	0	0.139573985	0	0.691279709	0	2.190407353	0.091426701	0	0	0	0.406168827	0.002642413	0.864226641	0.86371907	0.500718401	0.752021166	0.177526459	0	0.477663007	0	0	0	0.24	0.042000533	7.157373731
EPICC_RE0024A_T2_B1_Q1	0.003231602	0.001212896	0.0003	0.007971244	0	0.07216256	0	0	0.005758677	0	0.039454987	0	0	0.046339567	0	0	0	0	0	0.057961244	0	0.053304416	0.31	0.030991728	0.287689194
EPICC_RE0024C_T1_B1_Q1	0.02743234	0.062848651	0	0	0.322117778	1.271234534	0	0	0	0	0.676827844	0	1.076225031	0.625513056	0	0	0	0.107014987	0	0.485389235	0	0.815165945	0.42	0.021570941	5.469769401
EPICC_RE0025A_T1_B1_Q1	0.04613663	0	0	0.003335451	0.063989191	0.353484941	0.108018218	0	0	0	0.241721343	0	0.04825744	0.189192037	0.105583025	0	0	0	0	0.168596067	0	0.342800544	0.32	0.030526601	1.671114887
EPICC_RE0025C_T1_B1_Q1	0	0.035385383	0	0.086701534	0	1.138158094	0.065158478	0	0	0	0	0.111062967	0.25385157	0.396461783	0.147845689	0.018396846	0.116774737	0.061808296	0.205579119	0	0	0	0.31	0.030676527	2.637184495
